,Día,Precio (€),Variación,supermercado,producto,nombre_producto
0,12/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
1,13/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
2,14/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
3,15/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
4,16/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
5,17/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
6,18/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
7,19/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
8,20/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
9,21/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
10,22/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
11,23/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
12,24/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
13,25/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
14,26/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
15,27/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
16,28/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
17,29/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
18,30/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
19,31/07/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
20,01/08/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
21,02/08/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
22,03/08/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
23,04/08/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
24,05/08/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
25,06/08/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
26,07/08/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
27,08/08/2024,"1,45",=,mercadona,Aceite de girasol,aceite de girasol refinado 02 hacendado 1 l
